name,number,status
The Zen of Python,20,Active
PEP Purpose and Guidelines,1,Active
Doing Python Micro Releases,102,Superseded
Doing Python Releases 101,101,Active
Python 1.6 Release Schedule,160,Final
Python Language Governance,13,Active
Collecting information about git,103,Withdrawn
Feature Requests,42,Withdrawn
Python Unicode Integration,100,Final
Sample reStructuredText PEP Template,12,Active
Style Guide for Python Code,8,Active
CPython platform support,11,Active
Voting Guidelines,10,Active
Style Guide for C Code,7,Active
Bug Fix Releases,6,Active
Sample Plaintext PEP Template,9,Withdrawn
Deferred Evaluation Of Annotations Using Descriptors,649,Draft
Access to Names in Outer Scopes,3104,Final
Python 3.12 Release Schedule,693,Draft
2022 Term steering council election,8103,Active
2021 Term steering council election,8102,Active
The Commons Governance Model,8014,Rejected
The Steering Council Model,8016,Accepted
Organization of the Python community,8015,Rejected
January 2019 steering council election,8100,Active
The Community Governance Model,8012,Rejected
The External Council Governance Model,8013,Rejected
2020 Term steering council election,8101,Active
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Python Governance Voting Process,8001,Final
Open Source Governance Survey,8002,Active
The Technical Leader Governance Model,8010,Rejected
Python Language Governance Proposal Overview,8000,Active
Qualified name for classes and functions,3155,Final
Asynchronous IO Support Rebooted: the “asyncio” Module,3156,Final
Pickle protocol version 4,3154,Final
Python Web Server Gateway Interface v1.0.1,3333,Final
Asynchronous IO support,3153,Superseded
Cofunctions,3152,Rejected
ABI version tagged .so files,3149,Final
futures - execute computations asynchronously,3148,Final
PYC Repository Directories,3147,Final
Statement local namespaces (aka “given” clause),3150,Deferred
Reworking the OS and IO exception hierarchy,3151,Final
Merging Unladen Swallow into CPython,3146,Withdrawn
Standard daemon process library,3143,Deferred
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
IP Address Manipulation Library for the Python Standard Library,3144,Final
Add a “while” clause to generator expressions,3142,Rejected
"str(container) should call str(item), not repr(item)",3140,Rejected
A Type Hierarchy for Numbers,3141,Final
New Super,3135,Final
String representation in Python 3000,3138,Final
Cleaning out sys and the “interpreter” module,3139,Rejected
Immutable Bytes and Mutable Buffer,3137,Final
Extended Iterable Unpacking,3132,Final
Labeled break and continue,3136,Rejected
Access to Current Module/Class/Function,3130,Rejected
Supporting Non-ASCII Identifiers,3131,Final
Introducing Roles,3133,Rejected
Exception Chaining and Embedded Tracebacks,3134,Final
Class Decorators,3129,Final
Integer Literal Support and Syntax,3127,Final
Remove Implicit String Concatenation,3126,Rejected
BList: A Faster List-like Type,3128,Rejected
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,Deferred
Remove Backslash Continuation,3125,Rejected
Making PyObject_HEAD conform to standard C,3123,Final
Delineation of the main module,3122,Rejected
Extension Module Initialization and Finalization,3121,Accepted
Introducing Abstract Base Classes,3119,Final
