number,name,status
1,PEP Purpose and Guidelines,Active
42,Feature Requests,Withdrawn
101,Doing Python Releases 101,Active
103,Collecting information about git,Withdrawn
100,Python Unicode Integration,Final
102,Doing Python Micro Releases,Superseded
13,Python Language Governance,Active
12,Sample reStructuredText PEP Template,Active
20,The Zen of Python,Active
8,Style Guide for Python Code,Active
9,Sample Plaintext PEP Template,Withdrawn
11,CPython platform support,Active
6,Bug Fix Releases,Active
7,Style Guide for C Code,Active
5,Guidelines for Language Evolution,Active
10,Voting Guidelines,Active
8103,2022 Term steering council election,Active
8102,2021 Term steering council election,Active
8015,Organization of the Python community,Rejected
8100,January 2019 steering council election,Active
8101,2020 Term steering council election,Active
8014,The Commons Governance Model,Rejected
8013,The External Council Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8012,The Community Governance Model,Rejected
8016,The Steering Council Model,Accepted
3333,Python Web Server Gateway Interface v1.0.1,Final
8000,Python Language Governance Proposal Overview,Active
8001,Python Governance Voting Process,Final
8010,The Technical Leader Governance Model,Rejected
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
8002,Open Source Governance Survey,Active
3155,Qualified name for classes and functions,Final
3154,Pickle protocol version 4,Final
3153,Asynchronous IO support,Superseded
3152,Cofunctions,Rejected
3149,ABI version tagged .so files,Final
3147,PYC Repository Directories,Final
3148,futures - execute computations asynchronously,Final
3151,Reworking the OS and IO exception hierarchy,Final
3150,Statement local namespaces (aka “given” clause),Deferred
3146,Merging Unladen Swallow into CPython,Withdrawn
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3142,Add a “while” clause to generator expressions,Rejected
3143,Standard daemon process library,Deferred
3141,A Type Hierarchy for Numbers,Final
3140,"str(container) should call str(item), not repr(item)",Rejected
3144,IP Address Manipulation Library for the Python Standard Library,Final
3139,Cleaning out sys and the “interpreter” module,Rejected
3137,Immutable Bytes and Mutable Buffer,Final
3138,String representation in Python 3000,Final
3136,Labeled break and continue,Rejected
3135,New Super,Final
3130,Access to Current Module/Class/Function,Rejected
3133,Introducing Roles,Rejected
3129,Class Decorators,Final
3131,Supporting Non-ASCII Identifiers,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3132,Extended Iterable Unpacking,Final
3128,BList: A Faster List-like Type,Rejected
3126,Remove Implicit String Concatenation,Rejected
3127,Integer Literal Support and Syntax,Final
3125,Remove Backslash Continuation,Rejected
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3123,Making PyObject_HEAD conform to standard C,Final
3122,Delineation of the main module,Rejected
3120,Using UTF-8 as the default source encoding,Final
3119,Introducing Abstract Base Classes,Final
3121,Extension Module Initialization and Finalization,Accepted
3117,Postfix type declarations,Rejected
3116,New I/O,Final
3115,Metaclasses in Python 3000,Final
3113,Removal of Tuple Parameter Unpacking,Final
3118,Revising the buffer protocol,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3112,Bytes literals in Python 3000,Final
3108,Standard Library Reorganization,Final
3110,Catching Exceptions in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3107,Function Annotations,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3103,A Switch/Case Statement,Rejected
3104,Access to Names in Outer Scopes,Final
3102,Keyword-Only Arguments,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3105,Make print a function,Final
3099,Things that will Not Change in Python 3000,Final
3001,Procedure for reviewing and improving standard library modules,Withdrawn
3101,Advanced String Formatting,Final
3003,Python Language Moratorium,Final
3100,Miscellaneous Python 3.0 Plans,Final
801,Reserved,Active
3000,Python 3000,Final
696,Type defaults for TypeVarLikes,Draft
754,IEEE 754 Floating Point Special Values,Rejected
695,Type Parameter Syntax,Draft
694,Upload 2.0 API for Python Package Repositories,Draft
